tweetID,created_at,location,username,fixedText
1575497851463150000,2022-09-29 14:48:53+00:00,"Newport, KY",hubbard2015,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575497737159970000,2022-09-29 14:48:26+00:00,United States,mosiememphis,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575497707472680000,2022-09-29 14:48:19+00:00,"Florida, USA ",TpaforSarah2022,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575497684219460000,2022-09-29 14:48:13+00:00,"Statesboro, GA",madeline_ryan97,"OCTOBER 11th is the LAST day to register to vote in Georgia for the 2022 General election! Register by mail or online today! 
Not sure where to start? Right here: https://t.co/dZQU5R07NF"
1575497561808730000,2022-09-29 14:47:44+00:00,Worldwide ,lgcomin,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575497499116070000,2022-09-29 14:47:29+00:00,"Perth, Perth (WA)",IllieL,"@kg_summersett @sunnyFlorida13 It’s ridiculous to believe that Ga and Az State GOP officials rigged the election to make trump lose. Then y’all dismiss that pesky fact as deep state RINO etc. 🙄: @kg_summersett @sunnyFlorida13 What anomalies? Nothing has been found in the numerous audits and recounts. Nothing presented under oath in Court despite ~ 60 court cases. One case, trump’s lawyers were instructed to provide evidence so they withdrew the case. Yes I believe Biden won."
1575497418590020000,2022-09-29 14:47:10+00:00,"Melrose, Florida",thescottosteen,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575497265954720000,2022-09-29 14:46:34+00:00,,AnnDuffClemens,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575497257537110000,2022-09-29 14:46:32+00:00,,BlueRMO,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575497190537300000,2022-09-29 14:46:16+00:00,,IGrosmen,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496993153040000,2022-09-29 14:45:29+00:00,,denimReset,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496975855720000,2022-09-29 14:45:25+00:00,"Texas, USA",GySgt_T,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
